identifier,lookup_type,class,location_type,location,sha1,stimulus_set_identifier,lookup_source
dicarlo.BashivanKar2019.synthetic,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_BashivanKar2019_synthetic.csv,81da195e9b2a128b228fc4867e23ae6b21bd7abd,,brainio_brainscore
dicarlo.BashivanKar2019.synthetic,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_BashivanKar2019_synthetic.zip,e2de33f25c5c19bcfb400055c1db399d553487e5,,brainio_brainscore
dicarlo.BashivanKar2019.synthetic,assembly,NeuronRecordingAssembly,S3,https://brainio.dicarlo.s3.amazonaws.com/assy_dicarlo_BashivanKar2019_synthetic.nc,f687c8d26f8943dc379dbcbe94d3feb148400c6b,dicarlo.BashivanKar2019.synthetic,brainio_brainscore
aru.Cichy2019,stimulus_set,StimulusSet,S3,https://brainio.contrib.s3.amazonaws.com/image_aru_Cichy2019.csv,281c4d9d0dd91a2916674638098fe94afb87d29a,,brainio_brainscore
aru.Cichy2019,stimulus_set,,S3,https://brainio.contrib.s3.amazonaws.com/image_aru_Cichy2019.zip,d2166dd9c2720cb24bc520f5041e6830779c0240,,brainio_brainscore
aru.Cichy2019,assembly,DataAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_aru_Cichy2019.nc,701e63be62b642082d476244d0d91d510b3ff05d,aru.Cichy2019,brainio_brainscore
dicarlo.ImageNetSlim15000,stimulus_set,StimulusSet,S3,https://brainio.requested.s3.amazonaws.com/image_dicarlo_ImageNetSlim15000.csv,56f79de36060147bc43ae89778e26d50f73c3a63,,brainio_brainscore
dicarlo.ImageNetSlim15000,stimulus_set,,S3,https://brainio.requested.s3.amazonaws.com/image_dicarlo_ImageNetSlim15000.zip,633d08474e3067add834f4ddf552642c538db112,,brainio_brainscore
dicarlo.Marques2020_blank,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_blank.csv,c02d44b0d3e157b29c6b96c5c5a478a8b37dc70b,,brainio_brainscore
dicarlo.Marques2020_blank,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_blank.zip,5c4eef94691d6d63f8b1610918728b8531fc861e,,brainio_brainscore
dicarlo.Marques2020_receptive_field,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_receptive_field.csv,e3681c69122b20ff3dd22486f546a26b3a97e057,,brainio_brainscore
dicarlo.Marques2020_receptive_field,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_receptive_field.zip,fc21a9302bb0fca85350049ab740af80f2307ece,,brainio_brainscore
dicarlo.Marques2020_orientation,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_orientation.csv,b316c6d9c6ddb58f8f21e79ae2b59b03933c0068,,brainio_brainscore
dicarlo.Marques2020_orientation,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_orientation.zip,6a02466e221ac314da2db2969c89688dff64ab1b,,brainio_brainscore
dicarlo.Marques2020_spatial_frequency,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_spatial_frequency.csv,31d0293c8aa1590f4680bb8a9446f56135b8d646,,brainio_brainscore
dicarlo.Marques2020_spatial_frequency,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_spatial_frequency.zip,6fdeee4366514b9a0ff9c52e52c13762a62ceaab,,brainio_brainscore
dicarlo.Marques2020_size,stimulus_set,StimulusSet,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_size.csv,0fd0aeea8fa6ff2b30ee9a6a684d4600590d631f,,brainio_brainscore
dicarlo.Marques2020_size,stimulus_set,,S3,https://brainio.dicarlo.s3.amazonaws.com/image_dicarlo_Marques2020_size.zip,11122de2784218b7dd4cd0b557e62583ca7ee283,,brainio_brainscore
movshon.FreemanZiemba2013_properties,stimulus_set,StimulusSet,S3,https://brainio.contrib.s3.amazonaws.com/image_movshon_FreemanZiemba2013_properties.csv,6f7bcb5d0c01e81c9fbdcec9bf586cbb579a9b02,,brainio_brainscore
movshon.FreemanZiemba2013_properties,stimulus_set,,S3,https://brainio.contrib.s3.amazonaws.com/image_movshon_FreemanZiemba2013_properties.zip,c64a0d6b447676a6d5cff3d3625a5f294e62ff97,,brainio_brainscore
movshon.Cavanaugh2002a,assembly,PropertyAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_movshon_Cavanaugh2002a.nc,d4b24f4bbf8a14138a8e98391ab03796c2c05e7d,dicarlo.Marques2020_size,brainio_brainscore
devalois.DeValois1982a,assembly,PropertyAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_devalois_DeValois1982a.nc,8f4fd70e987c3c566b5b6c6bf15ef27637618b2c,dicarlo.Marques2020_orientation,brainio_brainscore
devalois.DeValois1982b,assembly,PropertyAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_devalois_DeValois1982b.nc,611176eefdac09feaa4c07f081784c24067629e1,dicarlo.Marques2020_spatial_frequency,brainio_brainscore
movshon.FreemanZiemba2013_V1_properties,assembly,PropertyAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_movshon_FreemanZiemba2013_V1_properties.nc,e665522d9a32e6cd6c3ebc61ff65fd3899c8d3e6,movshon.FreemanZiemba2013_properties,brainio_brainscore
shapley.Ringach2002,assembly,PropertyAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_shapley_Ringach2002.nc,0f3e19140bd9f930109879a38e574471d9576cf5,dicarlo.Marques2020_orientation,brainio_brainscore
schiller.Schiller1976c,assembly,PropertyAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_schiller_Schiller1976c.nc,58daa02ba2680e75dcb11b37eb6085c4afb6576e,dicarlo.Marques2020_spatial_frequency,brainio_brainscore
brendel.Geirhos2021_sketch,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_sketch.csv,78e29dabe3d786415a29d9d00b93982b02897b92,,brainio_brainscore
brendel.Geirhos2021_sketch,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_sketch.zip,dc06d938ea0d85c90098e8e475a5806948ea8acd,,brainio_brainscore
brendel.Geirhos2021_colour,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_colour.csv,43539d2aa6be99b5b9941437085f1847d811004c,,brainio_brainscore
brendel.Geirhos2021_colour,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_colour.zip,2d0386e74d164f41354d65ba3b865b398c56aece,,brainio_brainscore
brendel.Geirhos2021_contrast,stimulus_set,StimulusSet,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_contrast.csv,6d614953278f6237fce6ba184872140460f12469,,brainio_brainscore
brendel.Geirhos2021_contrast,stimulus_set,,S3,https://brainio-brainscore.s3.amazonaws.com/image_brendel_Geirhos2021_contrast.zip,48b6c7cb9d26bf87b99a7d87a9331e071fb1ca70,,brainio_brainscore
brendel.Geirhos2021_sketch,assembly,BehavioralAssembly,S3,https://brainio.contrib.s3.amazonaws.com/assy_brendel_Geirhos2021_sketch.nc,6bea7c1c83cde7db7e12db85b7dc7ca615c692be,brendel.Geirhos2021_sketch,brainio_brainscore
